date,sku,location,quantity,unit_price,total_amount
2026-03-02,SKU01148,ST022,15,112.72,1690.8
2026-03-02,SKU01149,ST029,28,154.55,4327.4
2026-03-02,SKU01150,ST036,4,155.15,620.6
2026-03-02,SKU01151,ST043,13,221.54,2880.02
2026-03-02,SKU01152,ST050,21,211.45,4440.45
2026-03-02,SKU01153,ST005,30,225.78,6773.4
2026-03-02,SKU01154,ST012,7,225.75,1580.25
2026-03-02,SKU01155,ST019,19,50.35,956.65
2026-03-02,SKU01156,ST026,23,47.17,1084.91
2026-03-02,SKU01157,ST033,32,78.18,2501.76
2026-03-02,SKU01158,ST040,5,109.14,545.7
2026-03-02,SKU01159,ST047,21,142.17,2985.57
2026-03-02,SKU01160,ST002,8,161.27,1290.16
2026-03-02,SKU01161,ST009,39,159.76,6230.64
2026-03-02,SKU01162,ST016,2,197.8,395.6
2026-03-02,SKU01163,ST023,27,251.18,6781.86
2026-03-02,SKU01164,ST030,12,219.84,2638.08
2026-03-02,SKU01165,ST037,40,32.68,1307.2
2026-03-02,SKU01166,ST044,6,51.98,311.88
2026-03-02,SKU01167,ST051,29,81.3,2357.7
2026-03-02,SKU01168,ST006,15,86.51,1297.65
2026-03-02,SKU01169,ST013,48,114.83,5511.84
2026-03-02,SKU01170,ST020,3,164.71,494.13
2026-03-02,SKU01171,ST027,31,163.6,5071.6
2026-03-02,SKU01172,ST034,20,187.98,3759.6
2026-03-02,SKU01173,ST041,20,189.5,3790.0
2026-03-02,SKU01174,ST048,6,225.03,1350.18
2026-03-02,SKU01175,ST003,14,270.22,3783.08
2026-03-02,SKU01176,ST010,23,42.01,966.23
2026-03-02,SKU01177,ST017,26,51.97,1351.22
2026-03-02,SKU01178,ST024,4,88.8,355.2
2026-03-02,SKU01179,ST031,16,118.8,1900.8
2026-03-02,SKU01180,ST038,8,131.5,1052.0
2026-03-02,SKU01181,ST045,29,165.17,4789.93
2026-03-02,SKU01182,ST052,7,163.83,1146.81
2026-03-02,SKU01183,ST007,22,199.41,4387.02
2026-03-02,SKU01184,ST014,12,192.58,2310.96
2026-03-02,SKU01185,ST021,30,253.09,7592.7
2026-03-02,SKU01186,ST028,5,26.39,131.95
2026-03-02,SKU01187,ST035,24,46.62,1118.88
2026-03-02,SKU01188,ST042,15,69.73,1045.95
2026-03-02,SKU01189,ST049,38,86.3,3279.4
2026-03-02,SKU01190,ST004,2,100.61,201.22
2026-03-02,SKU01191,ST011,26,149.06,3875.56
2026-03-02,SKU01192,ST018,20,147.19,2943.8
2026-03-02,SKU01193,ST025,39,167.64,6537.96
2026-03-02,SKU01194,ST032,6,225.61,1353.66
2026-03-02,SKU01195,ST039,33,260.79,8606.07
2026-03-02,SKU01196,ST046,23,248.97,5726.31
2026-03-02,SKU01197,ST001,47,43.49,2044.03
2026-03-02,SKU01198,ST008,3,47.01,141.03
2026-03-02,SKU01199,ST015,34,89.21,3033.14
2026-03-02,SKU01200,ST022,8,123.94,991.52
2026-03-02,SKU01201,ST029,19,132.13,2510.47
2026-03-02,SKU01202,ST036,6,148.32,889.92
2026-03-02,SKU01203,ST043,17,206.6,3512.2
2026-03-02,SKU01204,ST050,12,184.6,2215.2
2026-03-02,SKU01205,ST005,21,205.44,4314.24
2026-03-02,SKU01206,ST012,4,236.75,947.0
2026-03-02,SKU01207,ST019,19,254.54,4836.26
2026-03-02,SKU01208,ST026,14,50.75,710.5
2026-03-02,SKU01209,ST033,27,53.56,1446.12
2026-03-02,SKU01210,ST040,8,71.89,575.12
2026-03-02,SKU01211,ST047,25,114.37,2859.25
2026-03-02,SKU01212,ST002,20,148.52,2970.4
2026-03-02,SKU01213,ST009,29,128.67,3731.43
2026-03-02,SKU01214,ST016,5,209.04,1045.2
2026-03-02,SKU01215,ST023,28,195.07,5461.96
2026-03-02,SKU01216,ST030,22,220.87,4859.14
2026-03-02,SKU01217,ST037,36,246.54,8875.44
2026-03-02,SKU01218,ST044,2,37.74,75.48
2026-03-02,SKU01219,ST051,29,48.42,1404.18
2026-03-02,SKU01220,ST006,8,84.72,677.76
2026-03-02,SKU01221,ST013,38,111.8,4248.4
2026-03-02,SKU01222,ST020,5,125.72,628.6
2026-03-02,SKU01223,ST027,36,164.54,5923.44
2026-03-02,SKU01224,ST034,12,168.87,2026.44
2026-03-02,SKU01225,ST041,39,181.87,7092.93
2026-03-02,SKU01226,ST048,3,212.8,638.4
2026-03-02,SKU01227,ST003,15,211.03,3165.45
2026-03-02,SKU01228,ST010,17,230.89,3925.13
2026-03-02,SKU01229,ST017,47,24.06,1130.82
2026-03-02,SKU01230,ST024,7,75.02,525.14
2026-03-02,SKU01231,ST031,20,79.81,1596.2
2026-03-02,SKU01232,ST038,20,105.55,2111.0
2026-03-02,SKU01233,ST045,20,121.22,2424.4
2026-03-02,SKU01234,ST052,4,133.93,535.72
2026-03-02,SKU01235,ST007,23,160.79,3698.17
2026-03-02,SKU01236,ST014,22,208.88,4595.36
2026-03-02,SKU01237,ST021,26,242.92,6315.92
2026-03-02,SKU01238,ST028,8,270.68,2165.44
2026-03-02,SKU01239,ST035,25,22.39,559.75
2026-03-02,SKU01240,ST042,8,52.17,417.36
2026-03-02,SKU01241,ST049,28,72.54,2031.12
2026-03-02,SKU01242,ST004,5,84.43,422.15
2026-03-02,SKU01243,ST011,31,122.95,3811.45
2026-03-02,SKU01244,ST018,11,129.26,1421.86
2026-03-02,SKU01245,ST025,35,173.97,6088.95
2026-03-02,SKU01246,ST032,2,222.34,444.68
2026-03-02,SKU01247,ST039,33,185.16,6110.28
2026-03-02,SKU01248,ST046,17,260.12,4422.04
2026-03-02,SKU01249,ST001,37,255.77,9463.49
2026-03-02,SKU01250,ST008,6,41.14,246.84
2026-03-02,SKU01251,ST015,15,63.98,959.7
2026-03-02,SKU01252,ST022,20,66.54,1330.8
2026-03-02,SKU01253,ST029,38,98.38,3738.44
2026-03-02,SKU01254,ST036,3,117.78,353.34
2026-03-02,SKU01255,ST043,18,147.21,2649.78
2026-03-02,SKU01256,ST050,22,178.15,3919.3
2026-03-02,SKU01257,ST005,46,202.44,9312.24
2026-03-02,SKU01258,ST012,7,237.66,1663.62
2026-03-02,SKU01259,ST019,20,205.39,4107.8
2026-03-02,SKU01260,ST026,8,23.93,191.44
2026-03-02,SKU01261,ST033,18,48.15,866.7
2026-03-02,SKU01262,ST040,4,70.54,282.16
2026-03-02,SKU01263,ST047,26,85.16,2214.16
2026-03-02,SKU01264,ST002,11,102.25,1124.75
2026-03-02,SKU01265,ST009,24,151.17,3628.08
2026-03-02,SKU01266,ST016,8,184.66,1477.28
2026-03-02,SKU01267,ST023,28,164.32,4600.96
2026-03-02,SKU01268,ST030,17,193.16,3283.72
2026-03-02,SKU01269,ST037,26,256.32,6664.32
2026-03-02,SKU01270,ST044,5,255.97,1279.85
2026-03-02,SKU01271,ST051,35,29.65,1037.75
2026-03-02,SKU01272,ST006,19,40.59,771.21
2026-03-02,SKU01273,ST013,28,72.72,2036.16
2026-03-02,SKU01274,ST020,2,122.33,244.66
2026-03-02,SKU01275,ST027,13,113.6,1476.8
2026-03-02,SKU01276,ST034,22,141.01,3102.22
2026-03-02,SKU01277,ST041,35,150.66,5273.1
2026-03-02,SKU01278,ST048,6,201.67,1210.02
2026-03-02,SKU01279,ST003,18,222.21,3999.78
2026-03-02,SKU01280,ST010,8,246.18,1969.44
2026-03-02,SKU01281,ST017,37,249.43,9228.91
2026-03-02,SKU01282,ST024,3,33.77,101.31
2026-03-02,SKU01283,ST031,21,52.89,1110.69
2026-03-02,SKU01284,ST038,11,99.84,1098.24
2026-03-02,SKU01285,ST045,45,113.63,5113.35
2026-03-02,SKU01286,ST052,7,114.68,802.76
2026-03-02,SKU01287,ST007,23,172.43,3965.89
2026-03-02,SKU01288,ST014,16,156.86,2509.76
2026-03-02,SKU01289,ST021,46,186.9,8597.4
2026-03-02,SKU01290,ST028,4,183.94,735.76
2026-03-02,SKU01291,ST035,29,255.39,7406.31
2026-03-02,SKU01292,ST042,19,36.09,685.71
2026-03-02,SKU01293,ST049,19,65.96,1253.24
2026-03-02,SKU01294,ST004,8,72.29,578.32
2026-03-02,SKU01295,ST011,31,99.58,3086.98
2026-03-02,SKU01296,ST018,25,117.75,2943.75
2026-03-02,SKU01297,ST025,25,157.08,3927.0
2026-03-02,SKU01298,ST032,5,167.55,837.75
2026-03-02,SKU01299,ST039,38,208.1,7907.8
2026-03-02,SKU01300,ST046,8,228.29,1826.32
2026-03-02,SKU01301,ST001,27,215.21,5810.67
2026-03-02,SKU01302,ST008,2,247.21,494.42
2026-03-02,SKU01303,ST015,16,24.04,384.64
2026-03-02,SKU01304,ST022,11,52.89,581.79
2026-03-02,SKU01305,ST029,34,64.9,2206.6
2026-03-02,SKU01306,ST036,6,119.06,714.36
2026-03-02,SKU01307,ST043,18,137.73,2479.14
2026-03-02,SKU01308,ST050,16,136.09,2177.44
2026-03-02,SKU01309,ST005,36,178.35,6420.6
2026-03-02,SKU01310,ST012,3,194.05,582.15
2026-03-02,SKU01311,ST019,24,214.98,5159.52
2026-03-02,SKU01312,ST026,19,242.6,4609.4
2026-03-02,SKU01313,ST033,43,9.4,404.2
2026-03-02,SKU01314,ST040,7,43.56,304.92
2026-03-02,SKU01315,ST047,26,56.59,1471.34
2026-03-02,SKU01316,ST002,25,87.67,2191.75
2026-03-02,SKU01317,ST009,45,103.95,4677.75
2026-03-02,SKU01318,ST016,4,110.77,443.08
2026-03-02,SKU01319,ST023,33,133.71,4412.43
2026-03-02,SKU01320,ST030,8,190.1,1520.8
2026-03-02,SKU01321,ST037,18,177.17,3189.06
2026-03-02,SKU01322,ST044,8,245.99,1967.92
2026-03-02,SKU01323,ST051,35,249.88,8745.8
2026-03-02,SKU01324,ST006,11,23.79,261.69
2026-03-02,SKU01325,ST013,23,60.74,1397.02
2026-03-02,SKU01326,ST020,5,92.29,461.45
2026-03-02,SKU01327,ST027,14,113.09,1583.26
2026-03-02,SKU01328,ST034,16,111.46,1783.36
2026-03-02,SKU01329,ST041,26,134.18,3488.68
2026-03-02,SKU01330,ST048,2,152.73,305.46
2026-03-02,SKU01331,ST003,19,197.88,3759.72
2026-03-02,SKU01332,ST010,19,204.75,3890.25
2026-03-02,SKU01333,ST017,33,260.62,8600.46
2026-03-02,SKU01334,ST024,6,260.91,1565.46
2026-03-02,SKU01335,ST031,22,32.12,706.64
2026-03-02,SKU01336,ST038,25,76.61,1915.25
2026-03-02,SKU01337,ST045,34,75.88,2579.92
2026-03-02,SKU01338,ST052,3,119.03,357.09
2026-03-02,SKU01339,ST007,28,143.7,4023.6
2026-03-02,SKU01340,ST014,8,170.85,1366.8
2026-03-02,SKU01341,ST021,36,166.79,6004.44
2026-03-02,SKU01342,ST028,7,183.28,1282.96
2026-03-02,SKU01343,ST035,30,215.66,6469.8
2026-03-02,SKU01344,ST042,11,259.51,2854.61
2026-03-02,SKU01345,ST049,43,16.16,694.88
2026-03-02,SKU01346,ST004,4,52.25,209.0
2026-03-02,SKU01347,ST011,37,58.72,2172.64
2026-03-02,SKU01348,ST018,16,101.41,1622.56
2026-03-02,SKU01349,ST025,44,120.41,5298.04
2026-03-02,SKU01350,ST032,8,138.92,1111.36
2026-03-02,SKU01351,ST039,14,150.83,2111.62
2026-03-02,SKU01352,ST046,19,193.29,3672.51
2026-03-02,SKU01353,ST001,22,227.43,5003.46
2026-03-02,SKU01354,ST008,5,254.6,1273.0
2026-03-02,SKU01355,ST015,17,242.05,4114.85
2026-03-02,SKU01356,ST022,25,32.74,818.5
2026-03-02,SKU01357,ST029,24,72.45,1738.8
2026-03-02,SKU01358,ST036,2,61.82,123.64
2026-03-02,SKU01359,ST043,23,102.94,2367.62
2026-03-02,SKU01360,ST050,8,105.59,844.72
2026-03-02,SKU01361,ST005,26,152.95,3976.7
2026-03-02,SKU01362,ST012,6,179.92,1079.52
2026-03-02,SKU01363,ST019,25,218.08,5452.0
2026-03-02,SKU01364,ST026,13,228.8,2974.4
2026-03-02,SKU01365,ST033,33,220.7,7283.1
2026-03-02,SKU01366,ST040,3,22.77,68.31
2026-03-02,SKU01367,ST047,31,33.48,1037.88
2026-03-02,SKU01368,ST002,16,61.97,991.52
2026-03-02,SKU01369,ST009,34,96.27,3273.18
2026-03-02,SKU01370,ST016,7,124.52,871.64
2026-03-02,SKU01371,ST023,33,118.72,3917.76
2026-03-02,SKU01372,ST030,18,163.08,2935.44
2026-03-02,SKU01373,ST037,42,202.61,8509.62
2026-03-02,SKU01374,ST044,4,203.18,812.72
2026-03-02,SKU01375,ST051,12,200.25,2403.0
2026-03-02,SKU01376,ST006,24,271.57,6517.68
2026-03-02,SKU01377,ST013,43,43.71,1879.53
2026-03-02,SKU01378,ST020,7,66.47,465.29
2026-03-02,SKU01379,ST027,18,97.15,1748.7
2026-03-02,SKU01380,ST034,8,106.83,854.64
2026-03-02,SKU01381,ST041,20,107.36,2147.2
2026-03-02,SKU01382,ST048,5,141.91,709.55
2026-03-02,SKU01383,ST003,20,170.63,3412.6
2026-03-02,SKU01384,ST010,13,189.64,2465.32
2026-03-02,SKU01385,ST017,23,189.75,4364.25
2026-03-02,SKU01386,ST024,2,249.07,498.14
2026-03-02,SKU01387,ST031,26,250.27,6507.02
2026-03-02,SKU01388,ST038,16,34.64,554.24
2026-03-02,SKU01389,ST045,25,84.84,2121.0
2026-03-02,SKU01390,ST052,6,92.91,557.46
2026-03-02,SKU01391,ST007,28,111.01,3108.28
2026-03-02,SKU01392,ST014,18,115.1,2071.8
2026-03-02,SKU01393,ST021,32,153.2,4902.4
2026-03-02,SKU01394,ST028,3,197.87,593.61
2026-03-02,SKU01395,ST035,30,203.54,6106.2
2026-03-02,SKU01396,ST042,24,260.12,6242.88
2026-03-02,SKU01397,ST049,33,259.98,8579.34
2026-03-02,SKU01398,ST004,7,38.11,266.77
2026-03-02,SKU01399,ST011,37,37.73,1396.01
2026-03-02,SKU01400,ST018,8,82.79,662.32
2026-03-02,SKU01401,ST025,41,101.88,4177.08
2026-03-02,SKU01402,ST032,4,117.23,468.92
2026-03-02,SKU01403,ST039,15,123.41,1851.15
2026-03-02,SKU01404,ST046,12,151.13,1813.56
2026-03-02,SKU01405,ST001,42,195.36,8205.12
2026-03-02,SKU01406,ST008,7,212.07,1484.49
2026-03-02,SKU01407,ST015,21,214.25,4499.25
2026-03-02,SKU01408,ST022,16,290.26,4644.16
2026-03-02,SKU01409,ST029,43,27.75,1193.25
2026-03-02,SKU01410,ST036,5,55.4,277.0
2026-03-02,SKU01411,ST043,23,75.57,1738.11
2026-03-02,SKU01412,ST050,18,116.07,2089.26
2026-03-02,SKU01413,ST005,21,109.58,2301.18
2026-03-02,SKU01414,ST012,2,167.34,334.68
2026-03-02,SKU01415,ST019,30,190.2,5706.0
2026-03-02,SKU01416,ST026,24,197.39,4737.36
2026-03-02,SKU01417,ST033,24,193.52,4644.48
2026-03-02,SKU01418,ST040,6,263.22,1579.32
2026-03-02,SKU01419,ST047,31,21.02,651.62
2026-03-02,SKU01420,ST002,7,44.91,314.37
2026-03-02,SKU01421,ST009,30,62.14,1864.2
2026-03-02,SKU01422,ST016,3,107.63,322.89
2026-03-02,SKU01423,ST023,33,129.22,4264.26
2026-03-02,SKU01424,ST030,12,134.81,1617.72
2026-03-02,SKU01425,ST037,32,163.45,5230.4
2026-03-02,SKU01426,ST044,6,162.5,975.0
2026-03-02,SKU01427,ST051,16,190.96,3055.36
2026-03-02,SKU01428,ST006,15,257.93,3868.95
2026-03-02,SKU01429,ST013,33,225.61,7445.13
2026-03-02,SKU01430,ST020,4,26.01,104.04
2026-03-02,SKU01431,ST027,18,59.02,1062.36
2026-03-02,SKU01432,ST034,21,91.18,1914.78
2026-03-02,SKU01433,ST041,41,105.22,4314.02
2026-03-02,SKU01434,ST048,8,117.5,940.0
2026-03-02,SKU01435,ST003,24,142.51,3420.24
2026-03-02,SKU01436,ST010,24,143.64,3447.36
2026-03-02,SKU01437,ST017,42,179.14,7523.88
2026-03-02,SKU01438,ST024,5,191.23,956.15
2026-03-02,SKU01439,ST031,26,244.99,6369.74
2026-03-02,SKU01440,ST038,7,27.61,193.27
2026-03-02,SKU01441,ST045,20,32.78,655.6
2026-03-02,SKU01442,ST052,2,78.08,156.16
2026-03-02,SKU01443,ST007,28,97.93,2742.04
2026-03-02,SKU01444,ST014,12,117.19,1406.28
2026-03-02,SKU01445,ST021,22,140.79,3097.38
2026-03-02,SKU01446,ST028,5,154.83,774.15
2026-03-02,SKU01447,ST035,35,186.44,6525.4
2026-03-02,SKU01448,ST042,15,199.92,2998.8
2026-03-02,SKU01449,ST049,29,225.42,6537.18
2026-03-02,SKU01450,ST004,3,234.32,702.96
2026-03-02,SKU01451,ST011,14,16.43,230.02
2026-03-02,SKU01452,ST018,21,41.27,866.67
2026-03-02,SKU01453,ST025,31,86.06,2667.86
2026-03-02,SKU01454,ST032,7,80.11,560.77
2026-03-02,SKU01455,ST039,19,110.23,2094.37
2026-03-02,SKU01456,ST046,24,138.22,3317.28
2026-03-02,SKU01457,ST001,32,153.96,4926.72
2026-03-02,SKU01458,ST008,4,183.82,735.28
2026-03-02,SKU01459,ST015,21,230.22,4834.62
2026-03-02,SKU01460,ST022,7,231.55,1620.85
2026-03-02,SKU01461,ST029,40,261.04,10441.6
2026-03-02,SKU01462,ST036,8,45.14,361.12
2026-03-02,SKU01463,ST043,23,61.14,1406.22
2026-03-02,SKU01464,ST050,12,76.53,918.36
2026-03-02,SKU01465,ST005,41,87.4,3583.4
2026-03-02,SKU01466,ST012,5,127.2,636.0
2026-03-02,SKU01467,ST019,30,145.25,4357.5
2026-03-02,SKU01468,ST026,15,168.22,2523.3
2026-03-02,SKU01469,ST033,49,206.78,10132.22
2026-03-02,SKU01470,ST040,2,253.41,506.82
2026-03-02,SKU01471,ST047,31,278.77,8641.87
2026-03-02,SKU01472,ST002,21,11.8,247.8
2026-03-02,SKU01473,ST009,21,62.18,1305.78
2026-03-02,SKU01474,ST016,6,56.53,339.18
2026-03-02,SKU01475,ST023,14,108.13,1513.82
2026-03-02,SKU01476,ST030,23,112.34,2583.82
2026-03-02,SKU01477,ST037,23,140.13,3222.99
2026-03-02,SKU01478,ST044,3,160.66,481.98
2026-03-02,SKU01479,ST051,17,213.12,3623.04
2026-03-02,SKU01480,ST006,7,218.7,1530.9
2026-03-02,SKU01481,ST013,29,247.38,7174.02
2026-03-02,SKU01482,ST020,7,257.89,1805.23
2026-03-02,SKU01483,ST027,22,27.55,606.1
2026-03-02,SKU01484,ST034,12,40.69,488.28
2026-03-02,SKU01485,ST041,31,67.58,2094.98
2026-03-02,SKU01486,ST048,4,94.53,378.12
2026-03-02,SKU01487,ST003,25,121.38,3034.5
2026-03-02,SKU01488,ST010,15,167.41,2511.15
2026-03-02,SKU01489,ST017,38,170.15,6465.7
2026-03-02,SKU01490,ST024,8,189.7,1517.6
2026-03-02,SKU01491,ST031,27,249.12,6726.24
2026-03-02,SKU01492,ST038,21,230.39,4838.19
2026-03-02,SKU01493,ST045,40,23.1,924.0
2026-03-02,SKU01494,ST052,5,53.63,268.15
2026-03-02,SKU01495,ST007,33,56.12,1851.96
2026-03-02,SKU01496,ST014,23,86.67,1993.41
2026-03-02,SKU01497,ST021,41,119.21,4887.61
2026-03-02,SKU01498,ST028,2,125.08,250.16
2026-03-02,SKU01499,ST035,35,148.57,5199.95
2026-03-02,SKU01500,ST042,8,163.72,1309.76
2026-03-02,SKU01501,ST049,19,216.63,4115.97
2026-03-02,SKU01502,ST004,6,251.04,1506.24
2026-03-02,SKU01503,ST011,17,249.02,4233.34
