sku,location,on_hand_qty,reorder_point,as_of_date,inventory_value
SKU00248,ST014,200,96,2025-09-01,12160.0
SKU00249,ST021,202,135,2025-09-01,15929.72
SKU00250,ST028,74,28,2025-09-01,6055.42
SKU00251,ST035,202,90,2025-09-01,21468.56
SKU00252,ST042,170,100,2025-09-01,20915.1
SKU00253,ST049,356,124,2025-09-01,40381.08
SKU00254,ST004,58,24,2025-09-01,7946.58
SKU00255,ST011,180,95,2025-09-01,3673.8
SKU00256,ST018,300,96,2025-09-01,10650.0
SKU00257,ST025,262,210,2025-09-01,11237.18
SKU00258,ST032,84,40,2025-09-01,3684.24
SKU00259,ST039,310,92,2025-09-01,17369.3
SKU00260,ST046,68,48,2025-09-01,5454.96
SKU00261,ST001,448,195,2025-09-01,40983.04
SKU00262,ST008,72,20,2025-09-01,6539.04
SKU00263,ST015,256,162,2025-09-01,27089.92
SKU00264,ST022,150,60,2025-09-01,20536.5
SKU00265,ST029,322,172,2025-09-01,6411.02
SKU00266,ST036,21,12,2025-09-01,566.58
SKU00267,ST043,418,155,2025-09-01,16410.68
SKU00268,ST050,136,64,2025-09-01,6145.84
SKU00269,ST005,540,282,2025-09-01,27378.0
SKU00270,ST012,87,30,2025-09-01,5942.1
SKU00271,ST019,332,140,2025-09-01,24883.4
SKU00272,ST026,250,120,2025-09-01,24185.0
SKU00273,ST033,158,105,2025-09-01,14202.62
SKU00274,ST040,32,12,2025-09-01,4151.04
SKU00275,ST047,189,84,2025-09-01,26845.56
SKU00276,ST002,204,120,2025-09-01,2951.88
SKU00277,ST009,288,100,2025-09-01,9676.8
SKU00278,ST016,102,42,2025-09-01,4024.92
SKU00279,ST023,171,90,2025-09-01,8974.08
SKU00280,ST030,100,32,2025-09-01,5730.0
SKU00281,ST037,218,174,2025-09-01,16663.92
SKU00282,ST044,42,20,2025-09-01,4231.5
SKU00283,ST051,297,88,2025-09-01,26379.54
SKU00284,ST006,102,72,2025-09-01,12801.0
SKU00285,ST013,380,165,2025-09-01,45007.2
SKU00286,ST020,116,32,2025-09-01,2172.68
SKU00287,ST027,247,156,2025-09-01,4290.39
SKU00288,ST034,200,80,2025-09-01,6936.0
SKU00289,ST041,278,148,2025-09-01,11803.88
SKU00290,ST048,52,30,2025-09-01,2472.6
SKU00291,ST003,405,150,2025-09-01,30346.65
SKU00292,ST010,170,80,2025-09-01,13977.4
SKU00293,ST017,472,246,2025-09-01,46567.52
SKU00294,ST024,29,10,2025-09-01,2668.0
SKU00295,ST031,323,136,2025-09-01,37797.46
SKU00296,ST038,300,144,2025-09-01,33342.0
SKU00297,ST045,338,225,2025-09-01,4610.32
SKU00298,ST052,63,24,2025-09-01,1472.94
SKU00299,ST007,513,228,2025-09-01,16698.15
SKU00300,ST014,68,40,2025-09-01,3185.8
SKU00301,ST021,218,76,2025-09-01,13585.76
SKU00302,ST028,44,18,2025-09-01,2999.04
SKU00303,ST035,162,85,2025-09-01,15040.08
SKU00304,ST042,150,48,2025-09-01,14361.0
SKU00305,ST049,172,138,2025-09-01,19525.44
SKU00306,ST004,74,35,2025-09-01,8918.48
SKU00307,ST011,284,84,2025-09-01,39958.8
SKU00308,ST018,136,96,2025-09-01,3473.44
SKU00309,ST025,310,135,2025-09-01,9613.1
SKU00310,ST032,58,16,2025-09-01,2732.96
SKU00311,ST039,238,150,2025-09-01,13213.76
SKU00312,ST046,250,100,2025-09-01,15275.0
SKU00313,ST001,232,124,2025-09-01,20388.16
SKU00314,ST008,84,48,2025-09-01,7899.36
SKU00315,ST015,392,145,2025-09-01,43888.32
SKU00316,ST022,204,96,2025-09-01,24912.48
SKU00317,ST029,402,210,2025-09-01,57819.66
SKU00318,ST036,72,25,2025-09-01,1646.64
SKU00319,ST043,314,132,2025-09-01,7887.68
SKU00320,ST050,100,48,2025-09-01,3583.0
SKU00321,ST005,292,195,2025-09-01,14880.32
SKU00322,ST012,21,8,2025-09-01,1168.86
SKU00323,ST019,500,222,2025-09-01,35975.0
SKU00324,ST026,102,60,2025-09-01,7987.62
SKU00325,ST033,494,172,2025-09-01,54557.36
SKU00326,ST040,87,36,2025-09-01,7808.25
SKU00327,ST047,152,80,2025-09-01,17048.32
SKU00328,ST002,200,64,2025-09-01,22986.0
SKU00329,ST009,352,282,2025-09-01,7715.84
SKU00330,ST016,32,15,2025-09-01,977.28
SKU00331,ST023,270,80,2025-09-01,9171.9
SKU00332,ST030,170,120,2025-09-01,9955.2
SKU00333,ST037,242,105,2025-09-01,14580.5
SKU00334,ST044,102,28,2025-09-01,6959.46
SKU00335,ST051,228,144,2025-09-01,22948.2
SKU00336,ST006,300,120,2025-09-01,25638.0
SKU00337,ST013,188,100,2025-09-01,20915.0
SKU00338,ST020,42,24,2025-09-01,5278.14
SKU00339,ST027,378,140,2025-09-01,5208.84
SKU00340,ST034,68,32,2025-09-01,1357.96
SKU00341,ST041,334,174,2025-09-01,9041.38
SKU00342,ST048,116,40,2025-09-01,4373.2
SKU00343,ST003,304,128,2025-09-01,17054.4
SKU00344,ST010,150,72,2025-09-01,8622.0
SKU00345,ST017,248,165,2025-09-01,16851.6
SKU00346,ST024,52,20,2025-09-01,4459.0
SKU00347,ST031,486,216,2025-09-01,40012.38
SKU00348,ST038,136,80,2025-09-01,16732.08
SKU00349,ST045,426,148,2025-09-01,54800.64
SKU00350,ST052,29,12,2025-09-01,535.92
SKU00351,ST007,142,75,2025-09-01,4965.74
SKU00352,ST014,250,80,2025-09-01,11027.5
SKU00353,ST021,308,246,2025-09-01,14756.28
SKU00354,ST028,63,30,2025-09-01,4391.73
SKU00355,ST035,256,76,2025-09-01,17771.52
SKU00356,ST042,204,144,2025-09-01,17242.08
SKU00357,ST049,518,225,2025-09-01,56275.52
SKU00358,ST004,44,12,2025-09-01,4824.16
SKU00359,ST011,218,138,2025-09-01,29447.44
SKU00360,ST018,100,40,2025-09-01,1387.0
SKU00361,ST025,142,76,2025-09-01,2568.78
SKU00362,ST032,74,42,2025-09-01,2248.86
SKU00363,ST039,364,135,2025-09-01,16259.88
SKU00364,ST046,102,48,2025-09-01,5835.42
SKU00365,ST001,264,138,2025-09-01,15937.68
SKU00366,ST008,58,20,2025-09-01,5160.84
SKU00367,ST015,294,124,2025-09-01,26901.0
SKU00368,ST022,200,96,2025-09-01,17986.0
SKU00369,ST029,202,135,2025-09-01,26047.9
SKU00370,ST036,84,32,2025-09-01,11177.04
SKU00371,ST043,472,210,2025-09-01,6376.72
SKU00372,ST050,170,100,2025-09-01,3173.9
SKU00373,ST005,356,124,2025-09-01,13517.32
SKU00374,ST012,72,30,2025-09-01,4188.24
SKU00375,ST019,133,70,2025-09-01,8766.03
SKU00376,ST026,300,96,2025-09-01,22116.0
SKU00377,ST033,262,210,2025-09-01,18340.0
SKU00378,ST040,21,10,2025-09-01,1796.34
SKU00379,ST047,243,72,2025-09-01,27174.69
SKU00380,ST002,68,48,2025-09-01,7892.08
SKU00381,ST009,448,195,2025-09-01,52617.6
SKU00382,ST016,87,24,2025-09-01,1371.12
SKU00383,ST023,209,132,2025-09-01,7187.51
SKU00384,ST030,150,60,2025-09-01,4665.0
SKU00385,ST037,322,172,2025-09-01,16270.66
SKU00386,ST044,32,18,2025-09-01,1995.84
SKU00387,ST051,351,130,2025-09-01,23885.55
SKU00388,ST006,136,64,2025-09-01,12065.92
SKU00389,ST013,540,282,2025-09-01,45500.4
SKU00390,ST020,102,35,2025-09-01,9342.18
SKU00391,ST027,285,120,2025-09-01,29041.5
SKU00392,ST034,250,120,2025-09-01,2007.5
SKU00393,ST041,158,105,2025-09-01,2870.86
SKU00394,ST048,42,16,2025-09-01,1619.94
SKU00395,ST003,459,204,2025-09-01,20755.98
SKU00396,ST010,204,120,2025-09-01,11868.72
SKU00397,ST017,288,100,2025-09-01,20525.76
SKU00398,ST024,116,48,2025-09-01,7914.68
SKU00399,ST031,361,190,2025-09-01,35388.83
SKU00400,ST038,100,32,2025-09-01,12233.0
SKU00401,ST045,218,174,2025-09-01,23498.22
SKU00402,ST052,52,25,2025-09-01,6282.64
SKU00403,ST007,230,68,2025-09-01,3139.5
SKU00404,ST014,102,72,2025-09-01,2480.64
SKU00405,ST021,380,165,2025-09-01,16077.8
SKU00406,ST028,29,8,2025-09-01,1761.75
SKU00407,ST035,200,126,2025-09-01,10232.0
SKU00408,ST042,200,80,2025-09-01,16146.0
SKU00409,ST049,278,148,2025-09-01,24438.98
SKU00410,ST004,63,36,2025-09-01,6139.98
SKU00411,ST011,338,125,2025-09-01,38183.86
SKU00412,ST018,170,80,2025-09-01,21867.1
SKU00413,ST025,472,246,2025-09-01,1958.8
SKU00414,ST032,44,15,2025-09-01,680.68
SKU00415,ST039,276,116,2025-09-01,8158.56
SKU00416,ST046,300,144,2025-09-01,12369.0
SKU00417,ST001,338,225,2025-09-01,21060.78
SKU00418,ST008,74,28,2025-09-01,4975.76
SKU00419,ST015,446,198,2025-09-01,36406.98
SKU00420,ST022,68,40,2025-09-01,5814.68
SKU00421,ST029,218,76,2025-09-01,17714.68
SKU00422,ST036,58,24,2025-09-01,6420.02
SKU00423,ST043,352,185,2025-09-01,38420.8
SKU00424,ST050,150,48,2025-09-01,2028.0
SKU00425,ST005,172,138,2025-09-01,3517.4
SKU00426,ST012,84,40,2025-09-01,2857.68
SKU00427,ST019,216,64,2025-09-01,11892.96
SKU00428,ST026,136,96,2025-09-01,7863.52
SKU00429,ST033,310,135,2025-09-01,24223.4
SKU00430,ST040,72,20,2025-09-01,5932.08
SKU00431,ST047,190,120,2025-09-01,16030.3
SKU00432,ST002,250,100,2025-09-01,25922.5
SKU00433,ST009,232,124,2025-09-01,26482.8
SKU00434,ST016,21,12,2025-09-01,3062.01
SKU00435,ST023,324,120,2025-09-01,8297.64
SKU00436,ST030,204,96,2025-09-01,6632.04
SKU00437,ST037,402,210,2025-09-01,15340.32
SKU00438,ST044,87,30,2025-09-01,4962.48
SKU00439,ST051,266,112,2025-09-01,14161.84
SKU00440,ST006,100,48,2025-09-01,6930.0
SKU00441,ST013,292,195,2025-09-01,30286.24
SKU00442,ST020,32,12,2025-09-01,3363.84
SKU00443,ST027,432,192,2025-09-01,41238.72
SKU00444,ST034,102,60,2025-09-01,14071.92
SKU00445,ST041,494,172,2025-09-01,5651.36
SKU00446,ST048,102,42,2025-09-01,2045.1
SKU00447,ST003,342,180,2025-09-01,12951.54
SKU00448,ST010,200,64,2025-09-01,9742.0
SKU00449,ST017,352,282,2025-09-01,20929.92
SKU00450,ST024,42,20,2025-09-01,3133.2
SKU00451,ST031,202,60,2025-09-01,16087.28
SKU00452,ST038,170,120,2025-09-01,18018.3
SKU00453,ST045,242,105,2025-09-01,25318.04
SKU00454,ST052,116,32,2025-09-01,11516.48
SKU00455,ST007,180,114,2025-09-01,21718.8
SKU00456,ST014,300,120,2025-09-01,4881.0
SKU00457,ST021,188,100,2025-09-01,6025.4
SKU00458,ST028,52,30,2025-09-01,1934.92
SKU00459,ST035,310,115,2025-09-01,14043.0
SKU00460,ST042,68,32,2025-09-01,4494.8
SKU00461,ST049,334,174,2025-09-01,29685.92
SKU00462,ST004,29,10,2025-09-01,2257.36
SKU00463,ST011,256,108,2025-09-01,27558.4
SKU00464,ST018,150,72,2025-09-01,16275.0
SKU00465,ST025,248,165,2025-09-01,25757.28
SKU00466,ST032,63,24,2025-09-01,767.34
SKU00467,ST039,418,186,2025-09-01,6495.72
SKU00468,ST046,136,80,2025-09-01,3601.28
SKU00469,ST001,426,148,2025-09-01,16213.56
SKU00470,ST008,44,18,2025-09-01,2093.96
SKU00471,ST015,332,175,2025-09-01,18552.16
SKU00472,ST022,250,80,2025-09-01,18205.0
SKU00473,ST029,308,246,2025-09-01,24264.24
SKU00474,ST036,74,35,2025-09-01,7118.06
SKU00475,ST043,189,56,2025-09-01,22889.79
SKU00476,ST050,204,144,2025-09-01,26332.32
SKU00477,ST005,518,225,2025-09-01,5185.18
SKU00478,ST012,58,16,2025-09-01,1538.16
SKU00479,ST019,171,108,2025-09-01,7676.19
SKU00480,ST026,100,40,2025-09-01,4384.0
SKU00481,ST033,142,76,2025-09-01,8750.04
SKU00482,ST040,84,48,2025-09-01,6536.04
SKU00483,ST047,297,110,2025-09-01,25155.9
SKU00484,ST002,102,48,2025-09-01,7876.44
SKU00485,ST009,264,138,2025-09-01,30249.12
SKU00486,ST016,72,25,2025-09-01,9027.36
SKU00487,ST023,247,104,2025-09-01,29057.08
SKU00488,ST030,200,96,2025-09-01,5336.0
SKU00489,ST037,202,135,2025-09-01,5062.12
SKU00490,ST044,21,8,2025-09-01,1093.05
SKU00491,ST051,405,180,2025-09-01,24332.4
SKU00492,ST006,170,100,2025-09-01,12119.3
SKU00493,ST013,356,124,2025-09-01,24179.52
SKU00494,ST020,87,36,2025-09-01,8136.24
SKU00495,ST027,323,170,2025-09-01,31880.1
SKU00496,ST034,300,96,2025-09-01,32670.0
SKU00497,ST041,262,210,2025-09-01,26401.74
SKU00498,ST048,32,15,2025-09-01,425.28
SKU00499,ST003,513,152,2025-09-01,18360.27
SKU00500,ST010,68,48,2025-09-01,2444.6
SKU00501,ST017,448,195,2025-09-01,25701.76
SKU00502,ST024,102,28,2025-09-01,6709.56
SKU00503,ST031,162,102,2025-09-01,11378.88
SKU00504,ST038,150,60,2025-09-01,12213.0
SKU00505,ST045,322,172,2025-09-01,35268.66
SKU00506,ST052,42,24,2025-09-01,4619.16
SKU00507,ST007,284,105,2025-09-01,33957.88
SKU00508,ST014,136,64,2025-09-01,17828.24
SKU00509,ST021,540,282,2025-09-01,9072.0
SKU00510,ST028,116,40,2025-09-01,2968.44
SKU00511,ST035,238,100,2025-09-01,10267.32
SKU00512,ST042,250,120,2025-09-01,13142.5
SKU00513,ST049,158,105,2025-09-01,10614.44
SKU00514,ST004,52,20,2025-09-01,4476.68
SKU00515,ST011,392,174,2025-09-01,27890.8
SKU00516,ST018,204,120,2025-09-01,23404.92
SKU00517,ST025,288,100,2025-09-01,34418.88
SKU00518,ST032,29,12,2025-09-01,3019.77
SKU00519,ST039,314,165,2025-09-01,2248.24
SKU00520,ST046,100,32,2025-09-01,2227.0
SKU00521,ST001,218,174,2025-09-01,7834.92
SKU00522,ST008,63,30,2025-09-01,3153.78
SKU00523,ST015,500,148,2025-09-01,31080.0
SKU00524,ST022,102,72,2025-09-01,7376.64
SKU00525,ST029,380,165,2025-09-01,31676.8
SKU00526,ST036,44,12,2025-09-01,4607.68
SKU00527,ST043,152,96,2025-09-01,17212.48
SKU00528,ST050,200,80,2025-09-01,20058.0
SKU00529,ST005,278,148,2025-09-01,29426.3
SKU00530,ST012,74,42,2025-09-01,1313.5
SKU00531,ST019,270,100,2025-09-01,9830.7
SKU00532,ST026,170,80,2025-09-01,6983.6
SKU00533,ST033,472,246,2025-09-01,22561.6
SKU00534,ST040,58,20,2025-09-01,3795.52
SKU00535,ST047,228,96,2025-09-01,18306.12
SKU00536,ST002,300,144,2025-09-01,27087.0
