po_number,supplier,sku,qty_ordered,qty_received,unit_cost,order_date,expected_date,received_date,location,fill_rate
PO00013-1,SUP037,SKU00013,434,434,42.64,2026-05-14,2026-05-21,2026-05-21,ST033,1.0
PO00013-2,SUP037,SKU00013,434,434,42.64,2026-06-08,2026-06-15,2026-06-15,ST033,1.0
PO00013-3,SUP037,SKU00013,434,434,42.64,2026-07-03,2026-07-10,2026-07-18,ST033,1.0
PO00014-1,SUP040,SKU00014,28,28,52.37,2026-05-15,2026-05-23,2026-05-23,ST040,1.0
PO00014-2,SUP040,SKU00014,28,28,52.37,2026-06-09,2026-06-17,2026-06-17,ST040,1.0
PO00014-3,SUP040,SKU00014,28,22,52.37,2026-07-04,2026-07-12,2026-07-12,ST040,0.786
PO00015-1,SUP043,SKU00015,406,317,51.52,2026-05-09,2026-05-18,2026-05-18,ST047,0.781
PO00015-2,SUP043,SKU00015,406,317,51.52,2026-06-03,2026-06-12,2026-06-12,ST047,0.781
PO00015-3,SUP043,SKU00015,406,317,51.52,2026-06-28,2026-07-07,2026-07-07,ST047,0.781
PO00016-1,SUP046,SKU00016,336,336,57.7,2026-05-10,2026-05-20,2026-05-25,ST002,1.0
PO00016-2,SUP046,SKU00016,336,336,57.7,2026-06-04,2026-06-14,2026-06-19,ST002,1.0
PO00016-3,SUP046,SKU00016,336,336,57.7,2026-06-29,2026-07-09,2026-07-14,ST002,1.0
PO00017-1,SUP049,SKU00017,490,490,79.69,2026-05-11,2026-05-18,2026-05-18,ST009,1.0
PO00017-2,SUP049,SKU00017,490,490,79.69,2026-06-05,2026-06-12,2026-06-12,ST009,1.0
PO00017-3,SUP049,SKU00017,490,490,79.69,2026-06-30,2026-07-07,2026-07-07,ST009,1.0
PO00018-1,SUP052,SKU00018,84,84,82.04,2026-05-12,2026-05-20,2026-05-20,ST016,1.0
PO00018-2,SUP052,SKU00018,84,84,82.04,2026-06-06,2026-06-14,2026-06-14,ST016,1.0
PO00018-3,SUP052,SKU00018,84,84,82.04,2026-07-01,2026-07-09,2026-07-09,ST016,1.0
PO00019-1,SUP055,SKU00019,462,462,110.39,2026-05-13,2026-05-22,2026-05-22,ST023,1.0
PO00019-2,SUP055,SKU00019,462,462,110.39,2026-06-07,2026-06-16,2026-06-16,ST023,1.0
PO00019-3,SUP055,SKU00019,462,462,110.39,2026-07-02,2026-07-11,2026-07-11,ST023,1.0
PO00020-1,SUP058,SKU00020,112,112,104.93,2026-05-14,2026-05-24,2026-05-24,ST030,1.0
PO00020-2,SUP058,SKU00020,112,112,104.93,2026-06-08,2026-06-18,2026-06-18,ST030,1.0
PO00020-3,SUP058,SKU00020,112,112,104.93,2026-07-03,2026-07-13,2026-07-13,ST030,1.0
PO00021-1,SUP061,SKU00021,546,546,139.99,2026-05-15,2026-05-22,2026-05-22,ST037,1.0
PO00021-2,SUP061,SKU00021,546,546,139.99,2026-06-09,2026-06-16,2026-06-16,ST037,1.0
PO00021-3,SUP061,SKU00021,546,546,139.99,2026-07-04,2026-07-11,2026-07-11,ST037,1.0
PO00022-1,SUP064,SKU00022,42,42,23.57,2026-05-09,2026-05-17,2026-05-17,ST044,1.0
PO00022-2,SUP064,SKU00022,42,42,23.57,2026-06-03,2026-06-11,2026-06-11,ST044,1.0
PO00022-3,SUP064,SKU00022,42,42,23.57,2026-06-28,2026-07-06,2026-07-06,ST044,1.0
PO00023-1,SUP067,SKU00023,518,518,22.06,2026-05-10,2026-05-19,2026-05-19,ST051,1.0
PO00023-2,SUP067,SKU00023,518,518,22.06,2026-06-04,2026-06-13,2026-06-13,ST051,1.0
PO00023-3,SUP067,SKU00023,518,518,22.06,2026-06-29,2026-07-08,2026-07-08,ST051,1.0
PO00024-1,SUP070,SKU00024,168,168,34.33,2026-05-11,2026-05-21,2026-05-21,ST006,1.0
PO00024-2,SUP070,SKU00024,168,168,34.33,2026-06-05,2026-06-15,2026-06-15,ST006,1.0
PO00024-3,SUP070,SKU00024,168,168,34.33,2026-06-30,2026-07-10,2026-07-10,ST006,1.0
PO00025-1,SUP073,SKU00025,602,602,53.85,2026-05-12,2026-05-19,2026-05-19,ST013,1.0
PO00025-2,SUP073,SKU00025,602,602,53.85,2026-06-06,2026-06-13,2026-06-13,ST013,1.0
PO00025-3,SUP073,SKU00025,602,602,53.85,2026-07-01,2026-07-08,2026-07-08,ST013,1.0
PO00026-1,SUP076,SKU00026,98,98,71.4,2026-05-13,2026-05-21,2026-05-21,ST020,1.0
PO00026-2,SUP076,SKU00026,98,98,71.4,2026-06-07,2026-06-15,2026-06-15,ST020,1.0
PO00026-3,SUP076,SKU00026,98,98,71.4,2026-07-02,2026-07-10,2026-07-10,ST020,1.0
PO00027-1,SUP079,SKU00027,224,224,65.71,2026-05-14,2026-05-23,2026-05-23,ST027,1.0
PO00027-2,SUP079,SKU00027,224,224,65.71,2026-06-08,2026-06-17,2026-06-17,ST027,1.0
PO00027-3,SUP079,SKU00027,224,224,65.71,2026-07-03,2026-07-12,2026-07-12,ST027,1.0
PO00028-1,SUP002,SKU00028,224,224,85.73,2026-05-15,2026-05-25,2026-05-25,ST034,1.0
PO00028-2,SUP002,SKU00028,224,224,85.73,2026-06-09,2026-06-19,2026-06-19,ST034,1.0
PO00028-3,SUP002,SKU00028,224,224,85.73,2026-07-04,2026-07-14,2026-07-14,ST034,1.0
PO00029-1,SUP005,SKU00029,658,658,87.06,2026-05-09,2026-05-16,2026-05-16,ST041,1.0
PO00029-2,SUP005,SKU00029,658,658,87.06,2026-06-03,2026-06-10,2026-06-10,ST041,1.0
PO00029-3,SUP005,SKU00029,658,658,87.06,2026-06-28,2026-07-05,2026-07-05,ST041,1.0
PO00030-1,SUP008,SKU00030,56,56,93.74,2026-05-10,2026-05-18,2026-05-18,ST048,1.0
PO00030-2,SUP008,SKU00030,56,56,93.74,2026-06-04,2026-06-12,2026-06-12,ST048,1.0
PO00030-3,SUP008,SKU00030,56,56,93.74,2026-06-29,2026-07-07,2026-07-07,ST048,1.0
PO00031-1,SUP011,SKU00031,280,280,120.25,2026-05-11,2026-05-20,2026-05-20,ST003,1.0
PO00031-2,SUP011,SKU00031,280,280,120.25,2026-06-05,2026-06-14,2026-06-14,ST003,1.0
PO00031-3,SUP011,SKU00031,280,280,120.25,2026-06-30,2026-07-09,2026-07-09,ST003,1.0
PO00032-1,SUP014,SKU00032,280,280,9.28,2026-05-12,2026-05-22,2026-05-22,ST010,1.0
PO00032-2,SUP014,SKU00032,280,280,9.28,2026-06-06,2026-06-16,2026-06-16,ST010,1.0
PO00032-3,SUP014,SKU00032,280,280,9.28,2026-07-01,2026-07-11,2026-07-11,ST010,1.0
PO00033-1,SUP017,SKU00033,294,294,30.17,2026-05-13,2026-05-20,2026-05-20,ST017,1.0
PO00033-2,SUP017,SKU00033,294,294,30.17,2026-06-07,2026-06-14,2026-06-14,ST017,1.0
PO00033-3,SUP017,SKU00033,294,294,30.17,2026-07-02,2026-07-09,2026-07-09,ST017,1.0
PO00034-1,SUP020,SKU00034,112,112,32.73,2026-05-14,2026-05-22,2026-05-22,ST024,1.0
PO00034-2,SUP020,SKU00034,112,112,32.73,2026-06-08,2026-06-16,2026-06-16,ST024,1.0
PO00034-3,SUP020,SKU00034,112,112,32.73,2026-07-03,2026-07-11,2026-07-11,ST024,1.0
PO00035-1,SUP023,SKU00035,336,336,48.92,2026-05-15,2026-05-24,2026-05-24,ST031,1.0
PO00035-2,SUP023,SKU00035,336,336,48.92,2026-06-09,2026-06-18,2026-06-18,ST031,1.0
PO00035-3,SUP023,SKU00035,336,336,48.92,2026-07-04,2026-07-13,2026-07-13,ST031,1.0
PO00036-1,SUP026,SKU00036,336,336,51.13,2026-05-09,2026-05-19,2026-05-19,ST038,1.0
PO00036-2,SUP026,SKU00036,336,336,51.13,2026-06-03,2026-06-13,2026-06-13,ST038,1.0
PO00036-3,SUP026,SKU00036,336,336,51.13,2026-06-28,2026-07-08,2026-07-08,ST038,1.0
PO00037-1,SUP029,SKU00037,350,350,78.53,2026-05-10,2026-05-17,2026-05-17,ST045,1.0
PO00037-2,SUP029,SKU00037,350,350,78.53,2026-06-04,2026-06-11,2026-06-11,ST045,1.0
PO00037-3,SUP029,SKU00037,350,350,78.53,2026-06-29,2026-07-06,2026-07-06,ST045,1.0
PO00038-1,SUP032,SKU00038,70,70,76.67,2026-05-11,2026-05-19,2026-05-19,ST052,1.0
PO00038-2,SUP032,SKU00038,70,70,76.67,2026-06-05,2026-06-13,2026-06-13,ST052,1.0
PO00038-3,SUP032,SKU00038,70,70,76.67,2026-06-30,2026-07-08,2026-07-08,ST052,1.0
PO00039-1,SUP035,SKU00039,392,392,108.97,2026-05-12,2026-05-21,2026-05-21,ST007,1.0
PO00039-2,SUP035,SKU00039,392,392,108.97,2026-06-06,2026-06-15,2026-06-15,ST007,1.0
PO00039-3,SUP035,SKU00039,392,392,108.97,2026-07-01,2026-07-10,2026-07-10,ST007,1.0
PO00040-1,SUP038,SKU00040,112,112,108.19,2026-05-13,2026-05-23,2026-05-23,ST014,1.0
PO00040-2,SUP038,SKU00040,112,112,108.19,2026-06-07,2026-06-17,2026-06-17,ST014,1.0
PO00040-3,SUP038,SKU00040,112,112,108.19,2026-07-02,2026-07-12,2026-07-12,ST014,1.0
PO00041-1,SUP041,SKU00041,406,406,118.8,2026-05-14,2026-05-21,2026-05-21,ST021,1.0
PO00041-2,SUP041,SKU00041,406,406,118.8,2026-06-08,2026-06-15,2026-06-15,ST021,1.0
PO00041-3,SUP041,SKU00041,406,406,118.8,2026-07-03,2026-07-10,2026-07-10,ST021,1.0
PO00042-1,SUP044,SKU00042,28,28,103.76,2026-05-15,2026-05-23,2026-05-23,ST028,1.0
PO00042-2,SUP044,SKU00042,28,28,103.76,2026-06-09,2026-06-17,2026-06-17,ST028,1.0
PO00042-3,SUP044,SKU00042,28,28,103.76,2026-07-04,2026-07-12,2026-07-12,ST028,1.0
PO00043-1,SUP047,SKU00043,448,448,11.75,2026-05-09,2026-05-18,2026-05-18,ST035,1.0
PO00043-2,SUP047,SKU00043,448,448,11.75,2026-06-03,2026-06-12,2026-06-12,ST035,1.0
PO00043-3,SUP047,SKU00043,448,448,11.75,2026-06-28,2026-07-07,2026-07-07,ST035,1.0
PO00044-1,SUP050,SKU00044,168,168,30.19,2026-05-10,2026-05-20,2026-05-20,ST042,1.0
PO00044-2,SUP050,SKU00044,168,168,30.19,2026-06-04,2026-06-14,2026-06-14,ST042,1.0
PO00044-3,SUP050,SKU00044,168,168,30.19,2026-06-29,2026-07-09,2026-07-09,ST042,1.0
PO00045-1,SUP053,SKU00045,462,462,51.1,2026-05-11,2026-05-18,2026-05-18,ST049,1.0
PO00045-2,SUP053,SKU00045,462,462,51.1,2026-06-05,2026-06-12,2026-06-12,ST049,1.0
PO00045-3,SUP053,SKU00045,462,462,51.1,2026-06-30,2026-07-07,2026-07-07,ST049,1.0
PO00046-1,SUP056,SKU00046,84,84,42.85,2026-05-12,2026-05-20,2026-05-20,ST004,1.0
PO00046-2,SUP056,SKU00046,84,84,42.85,2026-06-06,2026-06-14,2026-06-14,ST004,1.0
PO00046-3,SUP056,SKU00046,84,84,42.85,2026-07-01,2026-07-09,2026-07-09,ST004,1.0
PO00047-1,SUP059,SKU00047,504,504,56.98,2026-05-13,2026-05-22,2026-05-22,ST011,1.0
PO00047-2,SUP059,SKU00047,504,504,56.98,2026-06-07,2026-06-16,2026-06-16,ST011,1.0
PO00047-3,SUP059,SKU00047,504,504,56.98,2026-07-02,2026-07-11,2026-07-11,ST011,1.0
PO00048-1,SUP062,SKU00048,224,224,67.82,2026-05-14,2026-05-24,2026-05-24,ST018,1.0
PO00048-2,SUP062,SKU00048,224,224,67.82,2026-06-08,2026-06-18,2026-06-18,ST018,1.0
PO00048-3,SUP062,SKU00048,224,224,67.82,2026-07-03,2026-07-13,2026-07-13,ST018,1.0
PO00049-1,SUP065,SKU00049,518,518,75.11,2026-05-15,2026-05-22,2026-05-22,ST025,1.0
PO00049-2,SUP065,SKU00049,518,518,75.11,2026-06-09,2026-06-16,2026-06-16,ST025,1.0
PO00049-3,SUP065,SKU00049,518,518,75.11,2026-07-04,2026-07-11,2026-07-11,ST025,1.0
PO00050-1,SUP068,SKU00050,42,42,88.6,2026-05-09,2026-05-17,2026-05-17,ST032,1.0
PO00050-2,SUP068,SKU00050,42,42,88.6,2026-06-03,2026-06-11,2026-06-11,ST032,1.0
PO00050-3,SUP068,SKU00050,42,42,88.6,2026-06-28,2026-07-06,2026-07-06,ST032,1.0
PO00051-1,SUP071,SKU00051,210,210,119.54,2026-05-10,2026-05-19,2026-05-19,ST039,1.0
PO00051-2,SUP071,SKU00051,210,210,119.54,2026-06-04,2026-06-13,2026-06-13,ST039,1.0
PO00051-3,SUP071,SKU00051,210,210,119.54,2026-06-29,2026-07-08,2026-07-08,ST039,1.0
PO00052-1,SUP074,SKU00052,280,280,103.06,2026-05-11,2026-05-21,2026-05-21,ST046,1.0
PO00052-2,SUP074,SKU00052,280,280,103.06,2026-06-05,2026-06-15,2026-06-15,ST046,1.0
PO00052-3,SUP074,SKU00052,280,280,103.06,2026-06-30,2026-07-10,2026-07-10,ST046,1.0
PO00053-1,SUP077,SKU00053,574,574,8.06,2026-05-12,2026-05-19,2026-05-19,ST001,1.0
PO00053-2,SUP077,SKU00053,574,574,8.06,2026-06-06,2026-06-13,2026-06-13,ST001,1.0
PO00053-3,SUP077,SKU00053,574,574,8.06,2026-07-01,2026-07-08,2026-07-08,ST001,1.0
PO00054-1,SUP080,SKU00054,98,98,14.95,2026-05-13,2026-05-21,2026-05-21,ST008,1.0
PO00054-2,SUP080,SKU00054,98,98,14.95,2026-06-07,2026-06-15,2026-06-15,ST008,1.0
PO00054-3,SUP080,SKU00054,98,98,14.95,2026-07-02,2026-07-10,2026-07-10,ST008,1.0
PO00055-1,SUP003,SKU00055,266,266,33.04,2026-05-14,2026-05-23,2026-05-23,ST015,1.0
PO00055-2,SUP003,SKU00055,266,266,33.04,2026-06-08,2026-06-17,2026-06-17,ST015,1.0
PO00055-3,SUP003,SKU00055,266,266,33.04,2026-07-03,2026-07-12,2026-07-12,ST015,1.0
PO00056-1,SUP006,SKU00056,336,336,34.72,2026-05-15,2026-05-25,2026-05-25,ST022,1.0
PO00056-2,SUP006,SKU00056,336,336,34.72,2026-06-09,2026-06-19,2026-06-19,ST022,1.0
PO00056-3,SUP006,SKU00056,336,336,34.72,2026-07-04,2026-07-14,2026-07-14,ST022,1.0
PO00057-1,SUP009,SKU00057,630,630,44.86,2026-05-09,2026-05-16,2026-05-16,ST029,1.0
PO00057-2,SUP009,SKU00057,630,630,44.86,2026-06-03,2026-06-10,2026-06-10,ST029,1.0
PO00057-3,SUP009,SKU00057,630,630,44.86,2026-06-28,2026-07-05,2026-07-05,ST029,1.0
PO00058-1,SUP012,SKU00058,56,56,66.81,2026-05-10,2026-05-18,2026-05-18,ST036,1.0
PO00058-2,SUP012,SKU00058,56,56,66.81,2026-06-04,2026-06-12,2026-06-12,ST036,1.0
PO00058-3,SUP012,SKU00058,56,56,66.81,2026-06-29,2026-07-07,2026-07-07,ST036,1.0
PO00059-1,SUP015,SKU00059,322,322,73.13,2026-05-11,2026-05-20,2026-05-20,ST043,1.0
PO00059-2,SUP015,SKU00059,322,322,73.13,2026-06-05,2026-06-14,2026-06-14,ST043,1.0
PO00059-3,SUP015,SKU00059,322,322,73.13,2026-06-30,2026-07-09,2026-07-09,ST043,1.0
PO00060-1,SUP018,SKU00060,112,112,85.86,2026-05-12,2026-05-22,2026-05-22,ST050,1.0
PO00060-2,SUP018,SKU00060,112,112,85.86,2026-06-06,2026-06-16,2026-06-16,ST050,1.0
PO00060-3,SUP018,SKU00060,112,112,85.86,2026-07-01,2026-07-11,2026-07-11,ST050,1.0
PO00061-1,SUP021,SKU00061,266,266,109.66,2026-05-13,2026-05-20,2026-05-20,ST005,1.0
PO00061-2,SUP021,SKU00061,266,266,109.66,2026-06-07,2026-06-14,2026-06-14,ST005,1.0
PO00061-3,SUP021,SKU00061,266,266,109.66,2026-07-02,2026-07-09,2026-07-09,ST005,1.0
PO00062-1,SUP024,SKU00062,112,112,102.8,2026-05-14,2026-05-22,2026-05-22,ST012,1.0
PO00062-2,SUP024,SKU00062,112,112,102.8,2026-06-08,2026-06-16,2026-06-16,ST012,1.0
PO00062-3,SUP024,SKU00062,112,112,102.8,2026-07-03,2026-07-11,2026-07-11,ST012,1.0
PO00063-1,SUP027,SKU00063,378,378,116.72,2026-05-15,2026-05-24,2026-05-24,ST019,1.0
PO00063-2,SUP027,SKU00063,378,378,116.72,2026-06-09,2026-06-18,2026-06-18,ST019,1.0
PO00063-3,SUP027,SKU00063,378,378,116.72,2026-07-04,2026-07-13,2026-07-13,ST019,1.0
PO00064-1,SUP030,SKU00064,168,168,13.57,2026-05-09,2026-05-19,2026-05-19,ST026,1.0
PO00064-2,SUP030,SKU00064,168,168,13.57,2026-06-03,2026-06-13,2026-06-13,ST026,1.0
PO00064-3,SUP030,SKU00064,168,168,13.57,2026-06-28,2026-07-08,2026-07-08,ST026,1.0
PO00065-1,SUP033,SKU00065,322,322,25.92,2026-05-10,2026-05-17,2026-05-17,ST033,1.0
PO00065-2,SUP033,SKU00065,322,322,25.92,2026-06-04,2026-06-11,2026-06-11,ST033,1.0
PO00065-3,SUP033,SKU00065,322,322,25.92,2026-06-29,2026-07-06,2026-07-06,ST033,1.0
PO00066-1,SUP036,SKU00066,70,70,42.78,2026-05-11,2026-05-19,2026-05-19,ST040,1.0
PO00066-2,SUP036,SKU00066,70,70,42.78,2026-06-05,2026-06-13,2026-06-13,ST040,1.0
PO00066-3,SUP036,SKU00066,70,70,42.78,2026-06-30,2026-07-08,2026-07-08,ST040,1.0
PO00067-1,SUP039,SKU00067,434,434,61.6,2026-05-12,2026-05-21,2026-05-21,ST047,1.0
PO00067-2,SUP039,SKU00067,434,434,61.6,2026-06-06,2026-06-15,2026-06-15,ST047,1.0
PO00067-3,SUP039,SKU00067,434,434,61.6,2026-07-01,2026-07-10,2026-07-10,ST047,1.0
PO00068-1,SUP042,SKU00068,224,224,73.42,2026-05-13,2026-05-23,2026-05-23,ST002,1.0
PO00068-2,SUP042,SKU00068,224,224,73.42,2026-06-07,2026-06-17,2026-06-17,ST002,1.0
PO00068-3,SUP042,SKU00068,224,224,73.42,2026-07-02,2026-07-12,2026-07-12,ST002,1.0
PO00069-1,SUP045,SKU00069,378,378,63.94,2026-05-14,2026-05-21,2026-05-21,ST009,1.0
PO00069-2,SUP045,SKU00069,378,378,63.94,2026-06-08,2026-06-15,2026-06-15,ST009,1.0
PO00069-3,SUP045,SKU00069,378,378,63.94,2026-07-03,2026-07-10,2026-07-10,ST009,1.0
PO00070-1,SUP048,SKU00070,28,28,73.38,2026-05-15,2026-05-23,2026-05-23,ST016,1.0
PO00070-2,SUP048,SKU00070,28,28,73.38,2026-06-09,2026-06-17,2026-06-17,ST016,1.0
PO00070-3,SUP048,SKU00070,28,28,73.38,2026-07-04,2026-07-12,2026-07-12,ST016,1.0
PO00071-1,SUP051,SKU00071,490,490,99.54,2026-05-09,2026-05-18,2026-05-18,ST023,1.0
PO00071-2,SUP051,SKU00071,490,490,99.54,2026-06-03,2026-06-12,2026-06-12,ST023,1.0
PO00071-3,SUP051,SKU00071,490,490,99.54,2026-06-28,2026-07-07,2026-07-07,ST023,1.0
PO00072-1,SUP054,SKU00072,280,280,120.5,2026-05-10,2026-05-20,2026-05-20,ST030,1.0
PO00072-2,SUP054,SKU00072,280,280,120.5,2026-06-04,2026-06-14,2026-06-14,ST030,1.0
PO00072-3,SUP054,SKU00072,280,280,120.5,2026-06-29,2026-07-09,2026-07-09,ST030,1.0
PO00073-1,SUP057,SKU00073,434,434,125.97,2026-05-11,2026-05-18,2026-05-18,ST037,1.0
PO00073-2,SUP057,SKU00073,434,434,125.97,2026-06-05,2026-06-12,2026-06-12,ST037,1.0
PO00073-3,SUP057,SKU00073,434,434,125.97,2026-06-30,2026-07-07,2026-07-07,ST037,1.0
PO00074-1,SUP060,SKU00074,84,84,145.23,2026-05-12,2026-05-20,2026-05-20,ST044,1.0
PO00074-2,SUP060,SKU00074,84,84,145.23,2026-06-06,2026-06-14,2026-06-14,ST044,1.0
PO00074-3,SUP060,SKU00074,84,84,145.23,2026-07-01,2026-07-09,2026-07-09,ST044,1.0
PO00075-1,SUP063,SKU00075,196,196,21.55,2026-05-13,2026-05-22,2026-05-22,ST051,1.0
PO00075-2,SUP063,SKU00075,196,196,21.55,2026-06-07,2026-06-16,2026-06-16,ST051,1.0
PO00075-3,SUP063,SKU00075,196,196,21.55,2026-07-02,2026-07-11,2026-07-11,ST051,1.0
PO00076-1,SUP066,SKU00076,336,336,31.74,2026-05-14,2026-05-24,2026-05-24,ST006,1.0
PO00076-2,SUP066,SKU00076,336,336,31.74,2026-06-08,2026-06-18,2026-06-18,ST006,1.0
PO00076-3,SUP066,SKU00076,336,336,31.74,2026-07-03,2026-07-13,2026-07-13,ST006,1.0
PO00077-1,SUP069,SKU00077,490,490,43.29,2026-05-15,2026-05-22,2026-05-22,ST013,1.0
PO00077-2,SUP069,SKU00077,490,490,43.29,2026-06-09,2026-06-16,2026-06-16,ST013,1.0
PO00077-3,SUP069,SKU00077,490,490,43.29,2026-07-04,2026-07-11,2026-07-11,ST013,1.0
PO00078-1,SUP072,SKU00078,42,42,50.64,2026-05-09,2026-05-17,2026-05-17,ST020,1.0
PO00078-2,SUP072,SKU00078,42,42,50.64,2026-06-03,2026-06-11,2026-06-11,ST020,1.0
PO00078-3,SUP072,SKU00078,42,42,50.64,2026-06-28,2026-07-06,2026-07-06,ST020,1.0
PO00079-1,SUP075,SKU00079,252,252,52.96,2026-05-10,2026-05-19,2026-05-19,ST027,1.0
PO00079-2,SUP075,SKU00079,252,252,52.96,2026-06-04,2026-06-13,2026-06-13,ST027,1.0
PO00079-3,SUP075,SKU00079,252,252,52.96,2026-06-29,2026-07-08,2026-07-08,ST027,1.0
PO00080-1,SUP078,SKU00080,112,112,74.8,2026-05-11,2026-05-21,2026-05-21,ST034,1.0
PO00080-2,SUP078,SKU00080,112,112,74.8,2026-06-05,2026-06-15,2026-06-15,ST034,1.0
PO00080-3,SUP078,SKU00080,112,112,74.8,2026-06-30,2026-07-10,2026-07-10,ST034,1.0
PO00081-1,SUP001,SKU00081,546,546,88.53,2026-05-12,2026-05-19,2026-05-19,ST041,1.0
PO00081-2,SUP001,SKU00081,546,546,88.53,2026-06-06,2026-06-13,2026-06-13,ST041,1.0
PO00081-3,SUP001,SKU00081,546,546,88.53,2026-07-01,2026-07-08,2026-07-08,ST041,1.0
PO00082-1,SUP004,SKU00082,98,98,93.54,2026-05-13,2026-05-21,2026-05-21,ST048,1.0
PO00082-2,SUP004,SKU00082,98,98,93.54,2026-06-07,2026-06-15,2026-06-15,ST048,1.0
PO00082-3,SUP004,SKU00082,98,98,93.54,2026-07-02,2026-07-10,2026-07-10,ST048,1.0
PO00083-1,SUP007,SKU00083,308,308,102.42,2026-05-14,2026-05-23,2026-05-23,ST003,1.0
PO00083-2,SUP007,SKU00083,308,308,102.42,2026-06-08,2026-06-17,2026-06-17,ST003,1.0
PO00083-3,SUP007,SKU00083,308,308,102.42,2026-07-03,2026-07-12,2026-07-12,ST003,1.0
PO00084-1,SUP010,SKU00084,168,168,110.84,2026-05-15,2026-05-25,2026-05-25,ST010,1.0
PO00084-2,SUP010,SKU00084,168,168,110.84,2026-06-09,2026-06-19,2026-06-19,ST010,1.0
PO00084-3,SUP010,SKU00084,168,168,110.84,2026-07-04,2026-07-14,2026-07-14,ST010,1.0
