sku,name,category,unit_cost,selling_price
SKU00060,Midan Pharmacy Product 0060,Pharmacy,85.86,179.41
SKU00061,Midan Beverages Product 0061,Beverages,109.66,240.24
SKU00062,Midan Dairy Product 0062,Dairy,102.8,208.85
SKU00063,Midan Snacks Product 0063,Snacks,116.72,240.36
SKU00064,Midan Grocery Product 0064,Grocery,13.57,26.91
SKU00065,Midan Personal Care Product 0065,Personal Care,25.92,45.69
SKU00066,Midan Frozen Product 0066,Frozen,42.78,75.79
SKU00067,Midan Household Product 0067,Household,61.6,127.68
SKU00068,Midan Baby Product 0068,Baby,73.42,122.33
SKU00069,Midan Fresh Product 0069,Fresh,63.94,141.75
SKU00070,Midan Pharmacy Product 0070,Pharmacy,73.38,177.89
SKU00071,Midan Beverages Product 0071,Beverages,99.54,183.78
SKU00072,Midan Dairy Product 0072,Dairy,120.5,242.25
SKU00073,Midan Snacks Product 0073,Snacks,125.97,217.91
SKU00074,Midan Grocery Product 0074,Grocery,145.23,262.03
SKU00075,Midan Personal Care Product 0075,Personal Care,21.55,35.84
SKU00076,Midan Frozen Product 0076,Frozen,31.74,71.31
SKU00077,Midan Household Product 0077,Household,43.29,67.92
SKU00078,Midan Baby Product 0078,Baby,50.64,105.41
SKU00079,Midan Fresh Product 0079,Fresh,52.96,138.41
SKU00080,Midan Pharmacy Product 0080,Pharmacy,74.8,153.49
SKU00081,Midan Beverages Product 0081,Beverages,88.53,177.69
SKU00082,Midan Dairy Product 0082,Dairy,93.54,226.42
SKU00083,Midan Snacks Product 0083,Snacks,102.42,228.24
SKU00084,Midan Grocery Product 0084,Grocery,110.84,259.56
SKU00085,Midan Personal Care Product 0085,Personal Care,6.85,16.19
SKU00086,Midan Frozen Product 0086,Frozen,26.03,57.81
SKU00087,Midan Household Product 0087,Household,36.93,72.74
SKU00088,Midan Baby Product 0088,Baby,49.27,96.08
SKU00089,Midan Fresh Product 0089,Fresh,66.68,131.73
SKU00090,Midan Pharmacy Product 0090,Pharmacy,79.67,134.54
SKU00091,Midan Beverages Product 0091,Beverages,78.81,181.52
SKU00092,Midan Dairy Product 0092,Dairy,85.26,179.47
SKU00093,Midan Snacks Product 0093,Snacks,99.65,188.45
SKU00094,Midan Grocery Product 0094,Grocery,124.49,218.55
SKU00095,Midan Personal Care Product 0095,Personal Care,117.06,260.83
SKU00096,Midan Frozen Product 0096,Frozen,25.4,41.41
SKU00097,Midan Household Product 0097,Household,25.45,48.99
SKU00098,Midan Baby Product 0098,Baby,45.57,83.54
SKU00099,Midan Fresh Product 0099,Fresh,55.38,109.5
SKU00100,Midan Pharmacy Product 0100,Pharmacy,47.76,126.85
SKU00101,Midan Beverages Product 0101,Beverages,80.44,177.29
SKU00102,Midan Dairy Product 0102,Dairy,75.72,159.1
SKU00103,Midan Snacks Product 0103,Snacks,106.83,208.16
SKU00104,Midan Grocery Product 0104,Grocery,128.05,212.82
SKU00105,Midan Personal Care Product 0105,Personal Care,99.81,255.53
SKU00106,Midan Frozen Product 0106,Frozen,15.24,33.38
SKU00107,Midan Household Product 0107,Household,19.93,39.13
SKU00108,Midan Baby Product 0108,Baby,43.84,89.64
SKU00109,Midan Fresh Product 0109,Fresh,41.37,74.92
SKU00110,Midan Pharmacy Product 0110,Pharmacy,68.03,138.9
SKU00111,Midan Beverages Product 0111,Beverages,65.54,157.74
SKU00112,Midan Dairy Product 0112,Dairy,82.69,164.98
SKU00113,Midan Snacks Product 0113,Snacks,95.51,174.8
SKU00114,Midan Grocery Product 0114,Grocery,108.55,187.23
SKU00115,Midan Personal Care Product 0115,Personal Care,94.79,207.54
SKU00116,Midan Frozen Product 0116,Frozen,149.29,248.04
SKU00117,Midan Household Product 0117,Household,16.58,39.86
SKU00118,Midan Baby Product 0118,Baby,31.19,49.79
SKU00119,Midan Fresh Product 0119,Fresh,39.25,102.01
SKU00120,Midan Pharmacy Product 0120,Pharmacy,39.85,92.93
SKU00121,Midan Beverages Product 0121,Beverages,59.46,134.21
SKU00122,Midan Dairy Product 0122,Dairy,69.12,150.8
SKU00123,Midan Snacks Product 0123,Snacks,85.63,141.78
SKU00124,Midan Grocery Product 0124,Grocery,101.42,217.67
SKU00125,Midan Personal Care Product 0125,Personal Care,115.38,215.41
SKU00126,Midan Frozen Product 0126,Frozen,117.64,217.98
SKU00127,Midan Household Product 0127,Household,141.02,273.76
SKU00128,Midan Baby Product 0128,Baby,16.16,34.62
SKU00129,Midan Fresh Product 0129,Fresh,27.84,55.28
SKU00130,Midan Pharmacy Product 0130,Pharmacy,47.82,89.28
SKU00131,Midan Beverages Product 0131,Beverages,61.59,115.01
SKU00132,Midan Dairy Product 0132,Dairy,54.44,127.28
SKU00133,Midan Snacks Product 0133,Snacks,77.63,161.57
SKU00134,Midan Grocery Product 0134,Grocery,85.57,165.32
SKU00135,Midan Personal Care Product 0135,Personal Care,112.42,218.91
SKU00136,Midan Frozen Product 0136,Frozen,90.77,218.48
SKU00137,Midan Household Product 0137,Household,116.43,275.3
SKU00138,Midan Baby Product 0138,Baby,17.63,31.6
SKU00139,Midan Fresh Product 0139,Fresh,17.21,39.36
SKU00140,Midan Pharmacy Product 0140,Pharmacy,39.88,64.57
SKU00141,Midan Beverages Product 0141,Beverages,48.15,86.75
SKU00142,Midan Dairy Product 0142,Dairy,61.01,116.78
SKU00143,Midan Snacks Product 0143,Snacks,59.6,157.62
SKU00144,Midan Grocery Product 0144,Grocery,73.19,170.37
SKU00145,Midan Personal Care Product 0145,Personal Care,102.08,181.77
SKU00146,Midan Frozen Product 0146,Frozen,89.28,219.6
SKU00147,Midan Household Product 0147,Household,126.4,245.63
SKU00148,Midan Baby Product 0148,Baby,137.23,305.94
SKU00149,Midan Fresh Product 0149,Fresh,24.06,50.37
SKU00150,Midan Pharmacy Product 0150,Pharmacy,32.68,60.98
SKU00151,Midan Beverages Product 0151,Beverages,49.71,93.46
SKU00152,Midan Dairy Product 0152,Dairy,44.41,103.62
SKU00153,Midan Snacks Product 0153,Snacks,67.2,141.64
SKU00154,Midan Grocery Product 0154,Grocery,61.04,138.2
SKU00155,Midan Personal Care Product 0155,Personal Care,77.59,171.7
SKU00156,Midan Frozen Product 0156,Frozen,83.7,199.38
SKU00157,Midan Household Product 0157,Household,94.39,222.42
SKU00158,Midan Baby Product 0158,Baby,116.76,227.24
SKU00159,Midan Fresh Product 0159,Fresh,11.67,21.5
SKU00160,Midan Pharmacy Product 0160,Pharmacy,28.32,55.47
SKU00161,Midan Beverages Product 0161,Beverages,26.8,63.69
SKU00162,Midan Dairy Product 0162,Dairy,54.53,112.0
SKU00163,Midan Snacks Product 0163,Snacks,60.19,115.24
SKU00164,Midan Grocery Product 0164,Grocery,62.52,131.25
SKU00165,Midan Personal Care Product 0165,Personal Care,65.53,153.55
SKU00166,Midan Frozen Product 0166,Frozen,89.75,173.23
SKU00167,Midan Household Product 0167,Household,88.26,214.85
SKU00168,Midan Baby Product 0168,Baby,102.85,222.96
SKU00169,Midan Fresh Product 0169,Fresh,123.89,218.41
SKU00170,Midan Pharmacy Product 0170,Pharmacy,13.05,30.67
SKU00171,Midan Beverages Product 0171,Beverages,22.02,51.49
SKU00172,Midan Dairy Product 0172,Dairy,40.18,82.69
SKU00173,Midan Snacks Product 0173,Snacks,39.85,83.16
SKU00174,Midan Grocery Product 0174,Grocery,72.37,121.51
SKU00175,Midan Personal Care Product 0175,Personal Care,81.72,159.17
SKU00176,Midan Frozen Product 0176,Frozen,100.72,164.34
SKU00177,Midan Household Product 0177,Household,78.05,163.65
SKU00178,Midan Baby Product 0178,Baby,111.06,205.98
SKU00179,Midan Fresh Product 0179,Fresh,131.47,224.8
SKU00180,Midan Pharmacy Product 0180,Pharmacy,11.65,19.73
SKU00181,Midan Beverages Product 0181,Beverages,28.86,45.62
SKU00182,Midan Dairy Product 0182,Dairy,23.94,55.09
SKU00183,Midan Snacks Product 0183,Snacks,47.55,107.13
SKU00184,Midan Grocery Product 0184,Grocery,52.11,103.82
SKU00185,Midan Personal Care Product 0185,Personal Care,66.25,136.07
SKU00186,Midan Frozen Product 0186,Frozen,68.19,182.21
SKU00187,Midan Household Product 0187,Household,87.33,185.58
SKU00188,Midan Baby Product 0188,Baby,98.23,192.56
SKU00189,Midan Fresh Product 0189,Fresh,128.6,212.1
SKU00190,Midan Pharmacy Product 0190,Pharmacy,134.52,287.25
SKU00191,Midan Beverages Product 0191,Beverages,16.35,36.51
SKU00192,Midan Dairy Product 0192,Dairy,28.96,69.97
SKU00193,Midan Snacks Product 0193,Snacks,36.87,74.78
SKU00194,Midan Grocery Product 0194,Grocery,46.87,114.56
SKU00195,Midan Personal Care Product 0195,Personal Care,54.49,144.01
SKU00196,Midan Frozen Product 0196,Frozen,66.27,141.82
SKU00197,Midan Household Product 0197,Household,67.11,180.25
SKU00198,Midan Baby Product 0198,Baby,80.02,197.15
SKU00199,Midan Fresh Product 0199,Fresh,115.74,221.4
SKU00200,Midan Pharmacy Product 0200,Pharmacy,93.64,259.51
SKU00201,Midan Beverages Product 0201,Beverages,130.75,248.63
SKU00202,Midan Dairy Product 0202,Dairy,23.51,47.05
SKU00203,Midan Snacks Product 0203,Snacks,32.83,54.43
SKU00204,Midan Grocery Product 0204,Grocery,40.02,72.98
SKU00205,Midan Personal Care Product 0205,Personal Care,53.12,110.98
SKU00206,Midan Frozen Product 0206,Frozen,68.2,123.09
SKU00207,Midan Household Product 0207,Household,71.68,149.02
SKU00208,Midan Baby Product 0208,Baby,72.75,149.86
SKU00209,Midan Fresh Product 0209,Fresh,107.14,184.43
SKU00210,Midan Pharmacy Product 0210,Pharmacy,104.71,229.28
SKU00211,Midan Beverages Product 0211,Beverages,127.78,244.78
SKU00212,Midan Dairy Product 0212,Dairy,5.95,12.65
SKU00213,Midan Snacks Product 0213,Snacks,15.82,39.39
SKU00214,Midan Grocery Product 0214,Grocery,36.76,65.76
SKU00215,Midan Personal Care Product 0215,Personal Care,42.24,109.52
SKU00216,Midan Frozen Product 0216,Frozen,64.43,119.5
SKU00217,Midan Household Product 0217,Household,66.69,127.8
SKU00218,Midan Baby Product 0218,Baby,85.1,150.64
SKU00219,Midan Fresh Product 0219,Fresh,92.11,173.19
SKU00220,Midan Pharmacy Product 0220,Pharmacy,88.06,193.42
SKU00221,Midan Beverages Product 0221,Beverages,106.78,266.62
SKU00222,Midan Dairy Product 0222,Dairy,130.92,253.3
SKU00223,Midan Snacks Product 0223,Snacks,18.54,42.31
SKU00224,Midan Grocery Product 0224,Grocery,26.73,61.44
SKU00225,Midan Personal Care Product 0225,Personal Care,42.67,96.99
SKU00226,Midan Frozen Product 0226,Frozen,56.31,119.68
SKU00227,Midan Household Product 0227,Household,52.17,124.15
SKU00228,Midan Baby Product 0228,Baby,60.85,124.57
SKU00229,Midan Fresh Product 0229,Fresh,76.51,163.84
SKU00230,Midan Pharmacy Product 0230,Pharmacy,84.35,201.58
SKU00231,Midan Beverages Product 0231,Beverages,108.02,236.75
SKU00232,Midan Dairy Product 0232,Dairy,136.35,263.17
SKU00233,Midan Snacks Product 0233,Snacks,13.93,24.37
SKU00234,Midan Grocery Product 0234,Grocery,22.99,49.86
SKU00235,Midan Personal Care Product 0235,Personal Care,31.45,68.93
SKU00236,Midan Frozen Product 0236,Frozen,44.89,86.43
SKU00237,Midan Household Product 0237,Household,45.58,113.02
SKU00238,Midan Baby Product 0238,Baby,79.74,141.96
SKU00239,Midan Fresh Product 0239,Fresh,66.45,139.64
SKU00240,Midan Pharmacy Product 0240,Pharmacy,82.79,168.8
SKU00241,Midan Beverages Product 0241,Beverages,110.16,212.72
SKU00242,Midan Dairy Product 0242,Dairy,130.29,262.7
SKU00243,Midan Snacks Product 0243,Snacks,115.33,225.18
SKU00244,Midan Grocery Product 0244,Grocery,17.86,38.55
SKU00245,Midan Personal Care Product 0245,Personal Care,28.0,66.09
SKU00246,Midan Frozen Product 0246,Frozen,38.92,71.25
SKU00247,Midan Household Product 0247,Household,43.84,99.9
SKU00248,Midan Baby Product 0248,Baby,60.8,139.57
SKU00249,Midan Fresh Product 0249,Fresh,78.86,152.19
SKU00250,Midan Pharmacy Product 0250,Pharmacy,81.83,162.05
SKU00251,Midan Beverages Product 0251,Beverages,106.28,182.77
SKU00252,Midan Dairy Product 0252,Dairy,123.03,225.3
SKU00253,Midan Snacks Product 0253,Snacks,113.43,219.71
SKU00254,Midan Grocery Product 0254,Grocery,137.01,267.09
SKU00255,Midan Personal Care Product 0255,Personal Care,20.41,47.31
SKU00256,Midan Frozen Product 0256,Frozen,35.5,78.46
SKU00257,Midan Household Product 0257,Household,42.89,77.89
SKU00258,Midan Baby Product 0258,Baby,43.86,103.5
SKU00259,Midan Fresh Product 0259,Fresh,56.03,151.7
SKU00260,Midan Pharmacy Product 0260,Pharmacy,80.22,149.58
SKU00261,Midan Beverages Product 0261,Beverages,91.48,198.91
SKU00262,Midan Dairy Product 0262,Dairy,90.82,220.62
SKU00263,Midan Snacks Product 0263,Snacks,105.82,241.64
SKU00264,Midan Grocery Product 0264,Grocery,136.91,245.8
SKU00265,Midan Personal Care Product 0265,Personal Care,19.91,34.09
SKU00266,Midan Frozen Product 0266,Frozen,26.98,63.77
SKU00267,Midan Household Product 0267,Household,39.26,68.28
SKU00268,Midan Baby Product 0268,Baby,45.19,102.23
SKU00269,Midan Fresh Product 0269,Fresh,50.7,119.71
SKU00270,Midan Pharmacy Product 0270,Pharmacy,68.3,139.35
SKU00271,Midan Beverages Product 0271,Beverages,74.95,150.11
SKU00272,Midan Dairy Product 0272,Dairy,96.74,179.77
SKU00273,Midan Snacks Product 0273,Snacks,89.89,233.63
SKU00274,Midan Grocery Product 0274,Grocery,129.72,232.95
SKU00275,Midan Personal Care Product 0275,Personal Care,142.04,296.65
SKU00276,Midan Frozen Product 0276,Frozen,14.47,35.39
SKU00277,Midan Household Product 0277,Household,33.6,67.35
SKU00278,Midan Baby Product 0278,Baby,39.46,79.34
SKU00279,Midan Fresh Product 0279,Fresh,52.48,115.84
SKU00280,Midan Pharmacy Product 0280,Pharmacy,57.3,134.0
SKU00281,Midan Beverages Product 0281,Beverages,76.44,153.08
SKU00282,Midan Dairy Product 0282,Dairy,100.75,202.28
SKU00283,Midan Snacks Product 0283,Snacks,88.82,206.19
SKU00284,Midan Grocery Product 0284,Grocery,125.5,199.5
SKU00285,Midan Personal Care Product 0285,Personal Care,118.44,259.09
SKU00286,Midan Frozen Product 0286,Frozen,18.73,34.79
SKU00287,Midan Household Product 0287,Household,17.37,37.53
SKU00288,Midan Baby Product 0288,Baby,34.68,74.0
SKU00289,Midan Fresh Product 0289,Fresh,42.46,74.63
SKU00290,Midan Pharmacy Product 0290,Pharmacy,47.55,112.19
SKU00291,Midan Beverages Product 0291,Beverages,74.93,127.17
SKU00292,Midan Dairy Product 0292,Dairy,82.22,154.43
SKU00293,Midan Snacks Product 0293,Snacks,98.66,160.06
SKU00294,Midan Grocery Product 0294,Grocery,92.0,192.73
SKU00295,Midan Personal Care Product 0295,Personal Care,117.02,240.93
SKU00296,Midan Frozen Product 0296,Frozen,111.14,254.65
SKU00297,Midan Household Product 0297,Household,13.64,28.2
SKU00298,Midan Baby Product 0298,Baby,23.38,57.46
SKU00299,Midan Fresh Product 0299,Fresh,32.55,69.27
SKU00300,Midan Pharmacy Product 0300,Pharmacy,46.85,95.73
SKU00301,Midan Beverages Product 0301,Beverages,62.32,155.49
SKU00302,Midan Dairy Product 0302,Dairy,68.16,154.45
SKU00303,Midan Snacks Product 0303,Snacks,92.84,154.23
SKU00304,Midan Grocery Product 0304,Grocery,95.74,218.29
SKU00305,Midan Personal Care Product 0305,Personal Care,113.52,217.32
SKU00306,Midan Frozen Product 0306,Frozen,120.52,243.95
SKU00307,Midan Household Product 0307,Household,140.7,279.88
SKU00308,Midan Baby Product 0308,Baby,25.54,55.68
SKU00309,Midan Fresh Product 0309,Fresh,31.01,67.06
SKU00310,Midan Pharmacy Product 0310,Pharmacy,47.12,79.58
SKU00311,Midan Beverages Product 0311,Beverages,55.52,95.74
SKU00312,Midan Dairy Product 0312,Dairy,61.1,139.54
SKU00313,Midan Snacks Product 0313,Snacks,87.88,171.96
SKU00314,Midan Grocery Product 0314,Grocery,94.04,172.69
SKU00315,Midan Personal Care Product 0315,Personal Care,111.96,202.5
SKU00316,Midan Frozen Product 0316,Frozen,122.12,195.04
SKU00317,Midan Household Product 0317,Household,143.83,278.49
SKU00318,Midan Baby Product 0318,Baby,22.87,43.74
SKU00319,Midan Fresh Product 0319,Fresh,25.12,40.67
SKU00320,Midan Pharmacy Product 0320,Pharmacy,35.83,78.21
SKU00321,Midan Beverages Product 0321,Beverages,50.96,110.51
SKU00322,Midan Dairy Product 0322,Dairy,55.66,122.61
SKU00323,Midan Snacks Product 0323,Snacks,71.95,132.53
SKU00324,Midan Grocery Product 0324,Grocery,78.31,156.81
SKU00325,Midan Personal Care Product 0325,Personal Care,110.44,187.93
SKU00326,Midan Frozen Product 0326,Frozen,89.75,235.9
SKU00327,Midan Household Product 0327,Household,112.16,205.61
SKU00328,Midan Baby Product 0328,Baby,114.93,266.54
SKU00329,Midan Fresh Product 0329,Fresh,21.92,46.53
SKU00330,Midan Pharmacy Product 0330,Pharmacy,30.54,52.43
SKU00331,Midan Beverages Product 0331,Beverages,33.97,80.71
SKU00332,Midan Dairy Product 0332,Dairy,58.56,90.79
SKU00333,Midan Snacks Product 0333,Snacks,60.25,141.54
SKU00334,Midan Grocery Product 0334,Grocery,68.23,170.77
SKU00335,Midan Personal Care Product 0335,Personal Care,100.65,170.51
SKU00336,Midan Frozen Product 0336,Frozen,85.46,176.38
SKU00337,Midan Household Product 0337,Household,111.25,242.23
SKU00338,Midan Baby Product 0338,Baby,125.67,217.18
SKU00339,Midan Fresh Product 0339,Fresh,13.78,27.89
SKU00340,Midan Pharmacy Product 0340,Pharmacy,19.97,51.63
SKU00341,Midan Beverages Product 0341,Beverages,27.07,67.79
SKU00342,Midan Dairy Product 0342,Dairy,37.7,97.71
SKU00343,Midan Snacks Product 0343,Snacks,56.1,92.59
SKU00344,Midan Grocery Product 0344,Grocery,57.48,117.74
SKU00345,Midan Personal Care Product 0345,Personal Care,67.95,144.89
SKU00346,Midan Frozen Product 0346,Frozen,85.75,184.31
SKU00347,Midan Household Product 0347,Household,82.33,213.05
SKU00348,Midan Baby Product 0348,Baby,123.03,231.26
SKU00349,Midan Fresh Product 0349,Fresh,128.64,234.99
SKU00350,Midan Pharmacy Product 0350,Pharmacy,18.48,28.8
SKU00351,Midan Beverages Product 0351,Beverages,34.97,64.06
SKU00352,Midan Dairy Product 0352,Dairy,44.11,68.74
SKU00353,Midan Snacks Product 0353,Snacks,47.91,106.94
SKU00354,Midan Grocery Product 0354,Grocery,69.71,110.83
SKU00355,Midan Personal Care Product 0355,Personal Care,69.42,121.18
SKU00356,Midan Frozen Product 0356,Frozen,84.52,168.02
SKU00357,Midan Household Product 0357,Household,108.64,191.99
SKU00358,Midan Baby Product 0358,Baby,109.64,193.54
SKU00359,Midan Fresh Product 0359,Fresh,135.08,257.23
SKU00360,Midan Pharmacy Product 0360,Pharmacy,13.87,24.41
SKU00361,Midan Beverages Product 0361,Beverages,18.09,39.2
SKU00362,Midan Dairy Product 0362,Dairy,30.39,57.2
SKU00363,Midan Snacks Product 0363,Snacks,44.67,83.78
SKU00364,Midan Grocery Product 0364,Grocery,57.21,90.42
SKU00365,Midan Personal Care Product 0365,Personal Care,60.37,128.43
SKU00366,Midan Frozen Product 0366,Frozen,88.98,167.38
SKU00367,Midan Household Product 0367,Household,91.5,175.41
SKU00368,Midan Baby Product 0368,Baby,89.93,203.14
SKU00369,Midan Fresh Product 0369,Fresh,128.95,248.86
SKU00370,Midan Pharmacy Product 0370,Pharmacy,133.06,253.34
SKU00371,Midan Beverages Product 0371,Beverages,13.51,32.1
SKU00372,Midan Dairy Product 0372,Dairy,18.67,48.49
SKU00373,Midan Snacks Product 0373,Snacks,37.97,72.89
SKU00374,Midan Grocery Product 0374,Grocery,58.17,120.38
SKU00375,Midan Personal Care Product 0375,Personal Care,65.91,135.22
SKU00376,Midan Frozen Product 0376,Frozen,73.72,143.53
SKU00377,Midan Household Product 0377,Household,70.0,170.42
SKU00378,Midan Baby Product 0378,Baby,85.54,161.0
SKU00379,Midan Fresh Product 0379,Fresh,111.83,218.37
SKU00380,Midan Pharmacy Product 0380,Pharmacy,116.06,198.76
SKU00381,Midan Beverages Product 0381,Beverages,117.45,261.62
SKU00382,Midan Dairy Product 0382,Dairy,15.76,35.91
SKU00383,Midan Snacks Product 0383,Snacks,34.39,61.23
SKU00384,Midan Grocery Product 0384,Grocery,31.1,74.73
SKU00385,Midan Personal Care Product 0385,Personal Care,50.53,117.53
SKU00386,Midan Frozen Product 0386,Frozen,62.37,122.61
SKU00387,Midan Household Product 0387,Household,68.05,158.14
SKU00388,Midan Baby Product 0388,Baby,88.72,170.9
SKU00389,Midan Fresh Product 0389,Fresh,84.26,199.39
SKU00390,Midan Pharmacy Product 0390,Pharmacy,91.59,214.38
SKU00391,Midan Beverages Product 0391,Beverages,101.9,223.33
SKU00392,Midan Dairy Product 0392,Dairy,8.03,21.21
SKU00393,Midan Snacks Product 0393,Snacks,18.17,41.06
SKU00394,Midan Grocery Product 0394,Grocery,38.57,76.89
SKU00395,Midan Personal Care Product 0395,Personal Care,45.22,72.27
SKU00396,Midan Frozen Product 0396,Frozen,58.18,114.48
SKU00397,Midan Household Product 0397,Household,71.27,150.77
SKU00398,Midan Baby Product 0398,Baby,68.23,140.57
SKU00399,Midan Fresh Product 0399,Fresh,98.03,188.06
SKU00400,Midan Pharmacy Product 0400,Pharmacy,122.33,194.79
SKU00401,Midan Beverages Product 0401,Beverages,107.79,248.67
SKU00402,Midan Dairy Product 0402,Dairy,120.82,244.04
SKU00403,Midan Snacks Product 0403,Snacks,13.65,27.07
SKU00404,Midan Grocery Product 0404,Grocery,24.32,57.77
SKU00405,Midan Personal Care Product 0405,Personal Care,42.31,97.27
SKU00406,Midan Frozen Product 0406,Frozen,60.75,104.41
SKU00407,Midan Household Product 0407,Household,51.16,120.55
SKU00408,Midan Baby Product 0408,Baby,80.73,143.49
SKU00409,Midan Fresh Product 0409,Fresh,87.91,193.28
SKU00410,Midan Pharmacy Product 0410,Pharmacy,97.46,227.07
SKU00411,Midan Beverages Product 0411,Beverages,112.97,229.0
SKU00412,Midan Dairy Product 0412,Dairy,128.63,228.98
SKU00413,Midan Snacks Product 0413,Snacks,4.15,8.23
SKU00414,Midan Grocery Product 0414,Grocery,15.47,37.6
SKU00415,Midan Personal Care Product 0415,Personal Care,29.56,54.3
SKU00416,Midan Frozen Product 0416,Frozen,41.23,108.93
SKU00417,Midan Household Product 0417,Household,62.31,123.24
SKU00418,Midan Baby Product 0418,Baby,67.24,146.19
SKU00419,Midan Fresh Product 0419,Fresh,81.63,184.84
SKU00420,Midan Pharmacy Product 0420,Pharmacy,85.51,185.82
SKU00421,Midan Beverages Product 0421,Beverages,81.26,175.46
SKU00422,Midan Dairy Product 0422,Dairy,110.69,254.17
SKU00423,Midan Snacks Product 0423,Snacks,109.15,235.37
SKU00424,Midan Grocery Product 0424,Grocery,13.52,28.51
SKU00425,Midan Personal Care Product 0425,Personal Care,20.45,41.33
SKU00426,Midan Frozen Product 0426,Frozen,34.02,75.92
SKU00427,Midan Household Product 0427,Household,55.06,94.88
SKU00428,Midan Baby Product 0428,Baby,57.82,105.24
SKU00429,Midan Fresh Product 0429,Fresh,78.14,168.92
SKU00430,Midan Pharmacy Product 0430,Pharmacy,82.39,183.48
SKU00431,Midan Beverages Product 0431,Beverages,84.37,205.84
SKU00432,Midan Dairy Product 0432,Dairy,103.69,226.78
SKU00433,Midan Snacks Product 0433,Snacks,114.15,242.45
SKU00434,Midan Grocery Product 0434,Grocery,145.81,282.49
SKU00435,Midan Personal Care Product 0435,Personal Care,25.61,51.01
SKU00436,Midan Frozen Product 0436,Frozen,32.51,62.19
